Time,TotalSitesBurned,NumberFires,EcoCounts_chap,EcoCounts_oaks,EcoCounts_css,
1, 7909, 8, 6504, 1079, 326, 
2, 13509, 8, 12220, 674, 615, 
3, 13292, 10, 11106, 1093, 1093, 
4, 2436, 4, 2382, 0, 54, 
5, 10410, 4, 9777, 301, 332, 
6, 980, 3, 895, 55, 30, 
7, 2461, 3, 2402, 4, 55, 
8, 1606, 4, 1431, 90, 85, 
9, 4521, 6, 4015, 254, 252, 
10, 813, 3, 608, 177, 28, 
11, 2321, 2, 1669, 451, 201, 
12, 1859, 4, 1393, 356, 110, 
13, 6148, 4, 5383, 447, 318, 
14, 1441, 5, 1053, 207, 181, 
15, 748, 4, 706, 3, 39, 
16, 11776, 7, 10237, 645, 894, 
17, 926, 3, 418, 374, 134, 
18, 2438, 7, 1885, 244, 309, 
19, 467, 4, 264, 85, 118, 
20, 4680, 4, 4222, 136, 322, 
21, 1337, 2, 1162, 54, 121, 
22, 0, 0, 0, 0, 0, 
23, 1034, 3, 768, 131, 135, 
24, 1251, 2, 1083, 101, 67, 
25, 1152, 3, 1087, 10, 55, 
26, 0, 0, 0, 0, 0, 
27, 865, 5, 855, 0, 10, 
28, 771, 3, 765, 4, 2, 
29, 300, 7, 111, 145, 44, 
30, 158, 5, 137, 3, 18, 
31, 1363, 6, 1075, 171, 117, 
32, 320, 3, 200, 28, 92, 
33, 1640, 7, 1248, 306, 86, 
34, 487, 3, 371, 54, 62, 
35, 1473, 5, 1113, 290, 70, 
36, 1051, 5, 732, 1, 318, 
37, 817, 4, 546, 62, 209, 
38, 1188, 9, 933, 213, 42, 
39, 3, 3, 3, 0, 0, 
40, 453, 4, 315, 113, 25, 
41, 9, 2, 8, 0, 1, 
42, 2034, 5, 1464, 257, 313, 
43, 11054, 6, 10049, 459, 546, 
44, 3354, 8, 3225, 53, 76, 
45, 1, 1, 1, 0, 0, 
46, 1183, 3, 973, 79, 131, 
47, 345, 5, 306, 0, 39, 
48, 832, 5, 603, 10, 219, 
49, 1341, 6, 935, 227, 179, 
50, 6058, 7, 5581, 157, 320, 
