row_names,11,8,7,4,0,3,1,2,10,14,6,5,9,15,12, background
11,50076,462,324,1052,634,776,1441,11,1089,6,17,116,0,0,149,295
8,462,85268,20,3004,1780,2832,711,9,39,2,0,47,0,19,39,152
7,324,20,3334,88,54,41,672,0,175,0,9,39,0,0,73,11
4,1052,3004,88,97038,1483,4200,3615,658,470,5,0,33,8,12,144,258
0,634,1780,54,1483,7232,682,801,335,139,0,1,16,27,4,345,55
3,776,2832,41,4200,682,68678,1584,524,474,1,0,122,53,20,101,164
1,1441,711,672,3615,801,1584,50952,114,1155,32,8,165,0,1,378,155
2,11,9,0,658,335,524,114,9908,0,0,0,0,80,0,0,5
10,1089,39,175,470,139,474,1155,0,40980,109,573,571,0,0,686,284
14,6,2,0,5,0,1,32,0,109,260,66,22,0,0,1,0
6,17,0,9,0,1,0,8,0,573,66,2760,107,0,0,36,15
5,116,47,39,33,16,122,165,0,571,22,107,2572,0,0,177,1
9,0,0,0,8,27,53,0,80,0,0,0,0,1108,0,0,0
15,0,19,0,12,4,20,1,0,0,0,0,0,0,104,0,0
12,149,39,73,144,345,101,378,0,686,1,36,177,0,0,10448,31
